Sample ID,Sample resolution [m],state
110349858574_0.1,0.1,1
110349858574_0.05,0.05,1
110438684603_0.25,0.25,1
110438684603_0.2,0.2,1
110438684603_0.15,0.15,1
110438684603_0.1,0.1,1
110438684603_0.05,0.05,1
110561120739_0.25,0.25,1
110561120739_0.2,0.2,1
110561120739_0.15,0.15,1
110561120739_0.1,0.1,1
110561120739_0.05,0.05,1
110594072090_0.25,0.25,1
110594072090_0.2,0.2,1
110594072090_0.15,0.15,1
110594072090_0.1,0.1,1
110594072090_0.05,0.05,1
110832192779_0.25,0.25,1
110832192779_0.2,0.2,1
110832192779_0.15,0.15,1
110832192779_0.1,0.1,1
110832192779_0.05,0.05,2
110989549760_0.25,0.25,1
110989549760_0.2,0.2,1
110989549760_0.15,0.15,1
110989549760_0.1,0.1,1
110989549760_0.05,0.05,1
110993229076_0.25,0.25,1
110993229076_0.2,0.2,1
110993229076_0.15,0.15,1
110993229076_0.1,0.1,1
110993229076_0.05,0.05,1
111081861401_0.25,0.25,1
111081861401_0.2,0.2,1
111081861401_0.15,0.15,1
111081861401_0.1,0.1,1
111081861401_0.05,0.05,1
111353378791_0.25,0.25,1
111353378791_0.2,0.2,1
111353378791_0.15,0.15,1
111353378791_0.1,0.1,1
111353378791_0.05,0.05,1
111421184760_0.25,0.25,1
111421184760_0.2,0.2,1
111421184760_0.15,0.15,1
111421184760_0.1,0.1,1
111421184760_0.05,0.05,2
111446083430_0.25,0.25,1
111446083430_0.2,0.2,1
111446083430_0.15,0.15,1
111446083430_0.1,0.1,1
111446083430_0.05,0.05,1
111446560460_0.25,0.25,1
111446560460_0.2,0.2,1
111446560460_0.15,0.15,1
111446560460_0.1,0.1,1
111446560460_0.05,0.05,2
111536287902_0.25,0.25,1
111536287902_0.2,0.2,1
111536287902_0.15,0.15,1
111536287902_0.1,0.1,1
111536287902_0.05,0.05,1
111704429173_0.25,0.25,1
111704429173_0.2,0.2,1
111704429173_0.15,0.15,1
111704429173_0.1,0.1,1
111704429173_0.05,0.05,1
112271065371_0.25,0.25,1
112271065371_0.2,0.2,1
112271065371_0.15,0.15,1
112271065371_0.1,0.1,1
112271065371_0.05,0.05,1
112423425695_0.25,0.25,1
112423425695_0.2,0.2,1
112423425695_0.15,0.15,1
112423425695_0.1,0.1,1
112423425695_0.05,0.05,1
112460967176_0.25,0.25,1
112460967176_0.2,0.2,1
112460967176_0.15,0.15,1
